# HKSCS-2016 official input overlay (authoritative, generated).
# Every HKSCS Han record, with only official Quick code and toneless
# Jyutping readings. Blank route fields mean no official input mapping.
# Fields: chinese, code_point, quick_code, jyutping.
chinese,code_point,quick_code,jyutping
㐵,U+3435,od,jyu
㑀,U+3440,oi,taai
㑊,U+344A,oc,jik
㑌,U+344C,og,hong;wong
㑤,U+3464,ow,maau
㑳,U+3473,ou,zau;cau
㑺,U+347A,os,zeon
㑽,U+347D,og,tong
㑾,U+347E,or,jiu
㒓,U+3493,oq,taat
㒖,U+3496,ob,ngau;au
㒥,U+34A5,ot,fung
㒯,U+34AF,fj,jip
㒼,U+34BC,to,mun;mang
㓁,U+34C1,bc,mong
㓈,U+34C8,ir,bing
㓟,U+34DF,dn,pai
㓤,U+34E4,gn,gat;kit;kaat
㓦,U+34E6,mn,baak;maak
㓻,U+34FB,wn,gong
㔆,U+3506,mn,caam
㔾,U+353E,su,cim
㕑,U+3551,mi,cyu;ceoi
㕓,U+3553,mg,cin
㕙,U+3559,ii,zeon
㕡,U+3561,ye,kok
㕭,U+356D,rk,aau;ngaau;jiu;jaau
㕰,U+3570,ru,hok
㕲,U+3572,rd,muk
㕷,U+3577,ra,waak
㕸,U+3578,rt,lap
㖄,U+3584,rl,zau
㖗,U+3597,rn,jam
㖘,U+3598,rv,san;seon
㖡,U+35A1,rk,je;e;nge
㖥,U+35A5,rd,leon
㖭,U+35AD,rp,tim
㖿,U+35BF,rl,je
㗁,U+35C1,rs,ngok;ok
㗅,U+35C5,rb,wu
㗇,U+35C7,re,haa;gaa
㗊,U+35CA,rr,leoi
㗎,U+35CE,rd,gaa
㗒,U+35D2,rv,oi;ngoi
㗖,U+35D6,rx,daam
㗛,U+35DB,rk,siu
㗝,U+35DD,rf,gou
㗩,U+35E9,口日,zep;saap
㗱,U+35F1,rd,zaap;zep
㗲,U+35F2,rm,waak
㗳,U+35F3,rr,daap;dap
㗻,U+35FB,rb,go
㗾,U+35FE,rp,hoe
㘉,U+3609,rl,zit;zik
㘘,U+3618,vr,lyun
㘚,U+361A,rk,haam
㘣,U+3623,wb,syun
㘥,U+3625,wf,jau;ngo;o
㘭,U+362D,gs,aau;ngaau
㘵,U+3635,gb,bou
㘹,U+3639,yg,ci
㘾,U+363E,gd,jyu
㙇,U+3647,go,cuk
㙈,U+3648,gu,haa
㙉,U+3649,gc,tin
㙎,U+364E,gv,wai
㙟,U+365F,gb,long
㙡,U+3661,go,zung
㙺,U+367A,gc,kwai
㚁,U+3681,gu,kiu
㚚,U+369A,kr,kwang
㚥,U+36A5,vd,jyu
㚪,U+36AA,vu,hou
㚬,U+36AC,vm,gwan
㚰,U+36B0,vm,pui
㚱,U+36B1,vm,jau
㚵,U+36B5,vy,dung
㚹,U+36B9,vl,maau
㚼,U+36BC,vw,nau;lau
㛁,U+36C1,vj,paang
㛃,U+36C3,qv,git
㛄,U+36C4,vv,ji
㛅,U+36C5,vj,nei;lei
㛇,U+36C7,vg,zong
㛈,U+36C8,vs,haau
㛓,U+36D3,vb,hei
㛔,U+36D4,vj,fung
㛖,U+36D6,ve,so
㛝,U+36DD,vc,bui
㛡,U+36E1,vu,wan
㛢,U+36E2,vs,sau
㛥,U+36E5,va,taap
㛦,U+36E6,vd,lam
㛵,U+36F5,vb,cing
㜁,U+3701,vm,caa
㜃,U+3703,vr,lyun
㜈,U+3708,nv,muk
㜊,U+370A,vv,zin
㜍,U+370D,vr,tong
㜜,U+371C,vk,ngou;ou
㜢,U+3722,vv,leoi
㜣,U+3723,vf,jin
㜥,U+3725,vc,maai
㜬,U+372C,vr,daam
㜭,U+372D,vw,dong
㜰,U+3730,vd,joek
㜲,U+3732,vn,jing
㜳,U+3733,vv,waai
㜺,U+373A,vc,zaan
㝀,U+3740,wd,hou
㝃,U+3743,nu,min
㝢,U+3762,jb,jyu
㝯,U+376F,jb,kiu
㞗,U+3797,se,kau;gau
㞠,U+37A0,sf,liu
㞹,U+37B9,ur,ho
㞾,U+37BE,up,nei;lei
㟖,U+37D6,ut,lung
㟲,U+37F2,uf,jyun
㟸,U+37F8,uj,gou
㟻,U+37FB,ju,cim
㠏,U+380F,uj,waa
㠙,U+3819,uo,hou
㠠,U+3820,ut,leoi
㠭,U+382D,mm,zin
㠶,U+3836,ln,faan
㠸,U+3838,lo,fu
㡣,U+3863,yp,lung
㡵,U+3875,ii,ling
㢠,U+38A0,nr,gwing
㣃,U+38C3,nn,juk
㣌,U+38CC,yh,saam
㣑,U+38D1,ih,jung
㣔,U+38D4,hn,ding
㣺,U+38FA,xp,sam
㤈,U+3908,pp,cam
㤔,U+3914,pi,fu
㤧,U+3927,pr,hau
㤲,U+3932,kp,hip
㤿,U+393F,pu,jim
㥍,U+394D,pc,gei
㥣,U+3963,kp,wai
㥸,U+3978,rp,man
㦀,U+3980,pj,fung
㦉,U+3989,pt,ji
㦊,U+398A,pj,waa
㦒,U+3992,pr,lai
㦙,U+3999,pp,jyu
㦛,U+399B,hp,jyu
㦡,U+39A1,pd,lok
㦤,U+39A4,gp,ji
㦸,U+39B8,yi,gik
㧜,U+39DC,qb,laap
㧢,U+39E2,qk,jan
㧥,U+39E5,qu,sin
㧬,U+39EC,mq,gung;ngung;ung
㧸,U+39F8,qn,paang
㧻,U+39FB,qo,duk
㧾,U+39FE,qp,fat
㨁,U+3A01,qm,zi
㨃,U+3A03,qd,deoi
㨆,U+3A06,qd,lam
㨗,U+3A17,qo,zit;cip;zip
㨘,U+3A18,qu,saang;sang
㨩,U+3A29,qg,zit
㨪,U+3A2A,qu,fong
㨴,U+3A34,qn,kin
㩋,U+3A4B,qx,sok;siu
㩒,U+3A52,qf,gam
㩗,U+3A57,qs,kwai
㩜,U+3A5C,qt,laam
㩞,U+3A5E,qd,caak
㩦,U+3A66,qb,kwai
㩧,U+3A67,qe,bok
㪗,U+3A97,ye,tau
㪫,U+3AAB,ye,jeoi
㪽,U+3ABD,ml,so
㫞,U+3ADE,ae,tou
㫠,U+3AE0,aq,bun
㫰,U+3AF0,av,long
㫲,U+3AF2,ad,pui;bui
㫵,U+3AF5,ay,fei
㫻,U+3AFB,ab,gwan
㬎,U+3B0E,af,hin
㬙,U+3B19,af,wai
㬢,U+3B22,ai,hei
㬫,U+3B2B,ta,jin
㬹,U+3B39,bd,zaang
㭂,U+3B42,df,niu;liu
㭘,U+3B58,dr,gap
㭠,U+3B60,du,sin
㭱,U+3B71,dl,haap
㭲,U+3B72,dr,gik
㭻,U+3B7B,dr,tong
